Name	Age	Class	Ticket	Location	Job	Boat	Survived	Sex
DODD, Mr Edward Charles	38	Engineering Crew		Belfast	Junior 3rd. Engineer		0	M
DODD, Mr George Charles	44	Victualling Crew		Belfast	Second Steward, 1st Class		0	M
DODDS, Mr Henry Watson	27	Engineering Crew		Southampton	Junior Assistant 4th Engineer		0	M
DODGE, Dr Washington	52	1st Class Passenger	33638 £81 17s 2d	Southampton	Politician	13	1	M
DODGE, Master Washington	4	1st Class Passenger	33638 £81 17s 2d	Southampton		5	1	M
DODGE, Mrs Ruth	34	1st Class Passenger	33638 £81 17s 2d	Southampton		5	1	F
DOEL, Mr Frederick	22	Engineering Crew		Southampton	Fireman		1	M
DOLBY, Mr Joseph	38	Victualling Crew		Belfast	Reception Steward (1st Class)		0	M
DOLING, Miss Elsie	18	2nd Class Passenger	231919 £23	Southampton			1	F
DOLING, Mrs Ada Julia Elizabeth	34	2nd Class Passenger	231919 £23	Southampton			1	F
DONATI, Sig. Italo Francesco	17	Restaurant Staff		Southampton	Assistant Waiter	[311]	0	M
DONOGHUE, Mr Frank (?Thomas)	35	Victualling Crew		Belfast	Bed Room Steward		0	M
DONOHOE, Miss Bridget	21	3rd Class Passenger	364856 £7 15s	Queenstown			0	F
DOOLY, Mr Patrick	38	3rd Class Passenger	370376 £7 15s	Queenstown	General Labourer		0	M
DORE, Mr Albert James	22	Engineering Crew		Southampton	Trimmer		1	M
DORKING, Mr Edward Arthur	18	3rd Class Passenger	10482 £8 1s	Southampton	Groom	B	1	M
DORNIER, Mr Louis Auguste	20	Restaurant Staff		Southampton	Assistant Fish Cook		0	M
DOUGHERTY, Mr William John	22	3rd Class Passenger	330877 £8 9s 2d	Queenstown			0	M
DOUGHTY, Mr Walter Thomas	22	Victualling Crew		Southampton	Saloon Steward (2nd class)		0	M
DOUGLAS, Mr Walter Donald	50	1st Class Passenger	17761 £106 8s 6d	Cherbourg		[62]	0	M
DOUGLAS, Mrs Mahala	48	1st Class Passenger	17761 £106 8s 6d	Cherbourg		2	1	F
DOUGLAS, Mrs Mary Hélène	27	1st Class Passenger	17558 £247 10s 5d	Cherbourg		6	1	F
DOUTON, Mr William Joseph	55	2nd Class Passenger	28403 £26	Southampton	Quarryman		0	M
DOWDELL, Miss Elizabeth	31	3rd Class Passenger	364516 £12 9s 6d	Southampton	Housekeeper	13	1	F
DOYLE, Miss Elizabeth	28	3rd Class Passenger	368702 £7 15s	Queenstown			0	F
DOYLE, Mr Laurence	27	Engineering Crew		Southampton	Fireman		0	M
DRAZENOVIC, Mr Jozef	33	3rd Class Passenger	349241 £7 17s 11d	Cherbourg	General Labourer	[51]	0	M
DREW, Master Marshall Brines	8	2nd Class Passenger	28220 £32 10s	Southampton		10	1	M
DREW, Mr James Vivian	42	2nd Class Passenger	28220 £32 10s	Southampton			0	M
DREW, Mrs Maria Louisa Thorne	34	2nd Class Passenger	28220 £32 10s	Southampton		10	1	F
DRISCOLL, Miss Bridget		3rd Class Passenger	14311 £7 15s	Queenstown		D	1	F
DROPKIN, Miss Jennie	24	3rd Class Passenger	392083 £8 1s	Southampton	Box Maker		1	F
DUFF GORDON, Lucy Christiana, Lady	48	1st Class Passenger	17485 £56 18s 7d	Cherbourg	Dressmaker / Couturi�re	1	1	F
DUFF GORDON, Sir Cosmo Edmund	49	1st Class Passenger	11755 £39 12s	Cherbourg	Landowner	1	1	M
DUFFY, Mr William Luke	36	Engineering Crew		Belfast	Writer / Engineer's Clerk		0	M
DULLES, Mr William Crothers	39	1st Class Passenger	17580 £29 14s	Cherbourg		[133]	0	M
DUNFORD, Mr William	47	Victualling Crew		Southampton	Hospital Steward	[71]	0	M
DUQUEMIN, Mr Joseph Pierre	24	3rd Class Passenger	752 £7 11s	Southampton	Mason	D	1	M
DURáN I MONé, Sra. Asuncion	27	2nd Class Passenger	2149 £13 17s 2d	Cherbourg		12	1	F
DURáN I MONé, Sra. Florentina	30	2nd Class Passenger	2148 £13 17s 2d	Cherbourg		12	1	F
DURNIL, Mr James	38	Engineering Crew		Southampton	Leading Fireman		0	M
DWAN, Mr Frank	65	3rd Class Passenger	336439 £7 15s	Queenstown	Farm Labourer		0	M
DYER, Mr Henry Ryland	24	Engineering Crew		Belfast	Senior Assistant 4th. Engineer		0	M
DYER, Mr William Henry	31	Victualling Crew		Southampton	Saloon Steward (1st class)		0	M
DYKER, Mr Adolf Fredrik	23	3rd Class Passenger	347072 £13 18s	Southampton	General Labourer		0	M
DYKER, Mrs Anna Elisabeth Judith	22	3rd Class Passenger	347072 £13 18s	Southampton		16	1	F
DYMOND, Mr Frank	40	Engineering Crew		Southampton	Fireman	15	1	M
EAGLE, Mr Alfred James	22	Engineering Crew		Southampton	Trimmer		0	M
EARNSHAW, Mrs Olive	23	1st Class Passenger	11767 £83 3s 2d	Cherbourg	Of Independent Means	7	1	F
EASTMAN, Mr Charles	44	Engineering Crew		Southampton	Greaser		0	M
EDBROOKE, Mr Francis Samuel Jacob	23	Victualling Crew		Southampton	Third class steward		0	M
EDE, Mr George Bulkeley	22	Victualling Crew		Southampton	3rd Class Steward		0	M
EDGE, Mr Frederick William	39	Victualling Crew		Southampton	Deck Steward (2nd class)		0	M
EDVARDSSON, Mr Gustaf Hjalmar	18	3rd Class Passenger	349912 £7 15s 6d	Southampton	General Labourer		0	M
EDWARDS, Mr Charles Essex	39	Victualling Crew		Southampton	Assistant Pantryman Steward (1st Class)		0	M
EGG, Mr William Henry	47	Victualling Crew		Southampton	Third class steward		0	M
EITEMILLER, Mr George Floyd	25	2nd Class Passenger	29751 £13	Southampton			0	M
EKLUND, Mr Hans Linus	16	3rd Class Passenger	347074 £7 15s 6d	Southampton	General Labourer		0	M
EKSTRöM, Mr Amandus	45	3rd Class Passenger	347061 £6 19s 6d	Southampton	General Labourer		0	M
ELIAS NASRALLAH, Mr Tannous	22	3rd Class Passenger	2695 £7 4s 7d	Cherbourg	General Labourer		0	M
ELIAS, Mr Dibo	29	3rd Class Passenger	2674 £7 4s 6d	Cherbourg	General Labourer		0	M
ELIAS, Mr Joseph jr.	15	3rd Class Passenger	2690 £7 4s 7d	Cherbourg	General Labourer		0	M
ELLIOTT, Mr Everett Edward	24	Engineering Crew		Southampton	Trimmer	[317]	0	M
ELLIS, Mr John Bertie	28	Victualling Crew		Southampton	Assistant Vegetable Cook	2	1	M
ELSBURY, Mr William James		3rd Class Passenger	3902 £7 5s	Southampton	Farmer		0	M
EMANUEL, Miss Virginia Ethel	5	3rd Class Passenger	364516 £12 9s 6d	Southampton		13	1	F
ENANDER, Mr Ingvar	21	2nd Class Passenger	236854 £13	Southampton			0	M
ENDRES, Miss Caroline Louise	39	1st Class Passenger Servant	17757 £247 10s 6d	Cherbourg	Nurse	4	1	F
ENNIS, Mr Walter	34	Victualling Crew		Southampton	Turkish Bath Attendant		0	M
ERVINE, Mr Albert George	18	Engineering Crew		Belfast	Assistant Electrician		0	M
ESTANISLAU, Mr Manuel Gonçalves	37	3rd Class Passenger	3101306 £7 1s	Southampton	General Labourer		0	M
ETCHES, Mr Henry Samuel	43	Victualling Crew		Belfast	First class bedroom steward	5	1	M
EUSTIS, Miss Elizabeth Mussey	54	1st Class Passenger	36947 £78 5s 4d	Cherbourg		4	1	F
EVANS, Miss Edith Corse	36	1st Class Passenger	17531 £31 13s 7d	Cherbourg			0	F
EVANS, Mr Alfred Frank	25	Deck Crew		Southampton	Lookout	15	1	M
EVANS, Mr Frank Oliver	27	Deck Crew		Southampton	Able Seaman	10	1	M
EVANS, Mr George Richard	27	Victualling Crew		Belfast	Saloon Steward (1st class)		0	M
EVANS, Mr William Thomas	33	Engineering Crew		Southampton	Trimmer	[31]	0	M
EVERETT, Mr Thomas James		3rd Class Passenger	6212 £15 2s	Southampton	Crane Operator	[187]	0	M
FAHLSTRøM, Mr Arne Joma	18	2nd Class Passenger	236171 £13	Southampton			0	M
FAIRALL, Mr Henry Charles	38	Victualling Crew		Belfast	Saloon Steward (1st class)		0	M
FARDON, Mr Charles Richard	45	3rd Class Passenger	3101314 £7 5s	Southampton	Carpenter / Joiner		0	M
FARENDEN, Mr Ernest John	22	Victualling Crew		Belfast	Confectioner		0	M
FARQUHARSON, Mr William Edward	39	Engineering Crew		Belfast	Senior 2nd. Engineer		0	M
FARRELL, Mr James	25	3rd Class Passenger	367232 £7 15s	Queenstown	Farm Labourer	[68]	0	M
FARTHING, Mr John	57	1st Class Passenger Servant	17483 £221 15s 7d	Southampton	Servant		0	M
FAULKNER, Mr William Stephen	37	Victualling Crew		Belfast	1st Class Bedroom Steward	11	1	M
FAUNTHORPE, Mr Harry Bartram	41	2nd Class Passenger	2926 £26	Southampton		[286]	0	M
FAY, Mr Thomas Joseph	30	Engineering Crew		Southampton	Greaser		0	M
FELLOWES, Mr Alfred James	29	Victualling Crew		Belfast	Assistant boots steward (1st class)	[138]	0	M
FELTHAM, Mr George William	36	Victualling Crew		Southampton	Vienna Baker		0	M
FERRARY, Mr Antonio	34	Engineering Crew		Southampton	Trimmer		0	M
FERRIS, Mr William	38	Engineering Crew		Southampton	Leading Fireman		0	M
FEY, Sig. Carlo	30	Restaurant Staff		Southampton	Scullion		0	M
FILLBROOK, Mr Joseph Charles	18	2nd Class Passenger	15185 £10 10s	Southampton	Painter & Decorator		0	M
FINCH, Mr Henry Herman	18	Victualling Crew		Southampton	Steward (3rd Class)		0	M
FINOLI, Mr Luigi	34	3rd Class Passenger	3101308 £7 1s	Southampton		15	1	M
FIORAVANTE, Sig. Giuseppe Bertoldo	23	Restaurant Staff		Southampton	Assistant Scullion		0	M
FISCHER, Mr Eberhard Thelander		3rd Class Passenger	350036 £7 15s 11d	Southampton			0	M
FITZPATRICK, Mr Cecil William	21	Engineering Crew		Southampton	Mess Steward	B	1	M
FITZPATRICK, Mr Hugh Joseph	28	Engineering Crew		Belfast	Junior Boilermaker		0	M
FLARTY, Mr Edward	43	Engineering Crew		Southampton	Fireman		1	M
FLEET, Mr Frederick	24	Deck Crew		Belfast	Lookout	6	1	M
FLEGENHEIM, Mrs Antoinette	48	1st Class Passenger	17598 £31 13s 8d	Cherbourg		7	1	F
FLEMING, Miss Honor	22	3rd Class Passenger	364859 £7 15s	Queenstown			0	F
FLEMING, Miss Margaret	42	1st Class Passenger Servant	17421 £110 17s 8d	Cherbourg	Personal Maid	4	1	F
FLETCHER, Mr Percy William	26	Victualling Crew		Belfast	Bugler Steward		0	M
FLYNN, Mr James	28	3rd Class Passenger	364851 £7 15s	Queenstown	General Labourer		0	M
FLYNN, Mr John	42	3rd Class Passenger	368323 £6 19s	Queenstown	Farm Labourer		0	M
FLYNN, Mr John Irwin	36	1st Class Passenger	PC 14474 £26 5s 9d	Southampton		5	1	M
FOLEY, Mr John	46	Deck Crew		Belfast	Deck storekeeper		1	M
FOLEY, Mr Joseph	19	3rd Class Passenger	330910 £7 17s 7d	Queenstown	Farm Labourer		0	M
FOLEY, Mr Wilfred Cyril	22	Victualling Crew		Southampton	3rd Class Steward	13	1	M
FOLEY, Mr William	20	3rd Class Passenger	365235 £7 15s	Queenstown	Farm Labourer		0	M
FOO, Mr Choong	32	3rd Class Passenger	1601 £56 9s 11d	Southampton	Seaman	13	1	M
FORD, Miss Dollina Margaret		3rd Class Passenger	6608 £34 7s 6d	Southampton	Servant		0	F
FORD, Miss Robina Maggie	7	3rd Class Passenger	6608 £34 7s 6d	Southampton			0	F
FORD, Mr Arthur	22	3rd Class Passenger	1478 £8 1s	Southampton	Carpenter / Joiner		0	M
FORD, Mr Edward Watson	18	3rd Class Passenger	6608 £34 7s 6d	Southampton	Blacksmith		0	M
FORD, Mr Ernest	32	Victualling Crew		Southampton	3rd Class Steward		0	M
FORD, Mr Francis	37	Victualling Crew		Southampton	Bedroom Steward (2nd class)		0	M
FORD, Mr H.	22	Engineering Crew		Southampton	Trimmer		0	M
FORD, Mr Thomas	32	Engineering Crew		Southampton	Leading Fireman		0	M
FORD, Mr William Neal Thomas	16	3rd Class Passenger	6608 £34 7s 6d	Southampton	Messenger		0	M
FORD, Mrs Margaret Ann Watson		3rd Class Passenger	6608 £34 7s 6d	Southampton	Farmer		0	F
FOREMAN, Mr Benjamin Laventall	30	1st Class Passenger	113051 £27 15s	Southampton			0	M
FORTUNE, Miss Alice Elizabeth	24	1st Class Passenger	19950 £263	Southampton		10	1	F
FORTUNE, Miss Ethel Flora	28	1st Class Passenger	19950 £263	Southampton		10	1	F
FORTUNE, Miss Mabel Helen	23	1st Class Passenger	19950 £263	Southampton		10	1	F
FORTUNE, Mr Charles Alexander	19	1st Class Passenger	19950 £263	Southampton			0	M
FORTUNE, Mr Mark	64	1st Class Passenger	19950 £263	Southampton			0	M
FORTUNE, Mrs Mary	60	1st Class Passenger	19950 £263	Southampton		10	1	F
FORWARD, Mr James	27	Deck Crew		Southampton	Able Seaman	16	1	M
FOSTER, Mr Alfred Charles		Engineering Crew		Belfast	Storekeeper (Engineering)		0	M
FOX, Mr Patrick	28	3rd Class Passenger	368573 £7 15s	Queenstown	General Labourer		0	M
FOX, Mr Stanley Harrington	38	2nd Class Passenger	229236 £13	Southampton	Businessman	[236]	0	M
FOX, Mr William Thomas	27	Victualling Crew		Southampton	Steward		0	M
FRANCATELLI, Miss Laura Mabel	31	1st Class Passenger Servant	17485 £56 18s 7d	Cherbourg	Secretary	1	1	F
FRANKLIN, Mr Alan Vincent	28	Victualling Crew		Southampton	Saloon Steward (2nd class)	[262]	0	M
FRANKLIN, Mr Thomas Parnham	37	1st Class Passenger	113778 £26 11s	Southampton			0	M
FRASER, Mr J.	30	Engineering Crew		Southampton	Fireman		0	M
FRASER, Mr James	29	Engineering Crew		Belfast	Junior Assistant 3rd. Engineer		0	M
FRAUENTHAL, Dr Henry William	49	1st Class Passenger	17611 £133 13s	Southampton	Doctor	5	1	M
FRAUENTHAL, Mr Isaac Gerald	43	1st Class Passenger	17765 £27 14s 5d	Cherbourg		5	1	M
FRAUENTHAL, Mrs Clara	42	1st Class Passenger	17611 £133 13s	Southampton		5	1	F
FREDERICKS, Mr Walter Francis	21	Engineering Crew		Southampton	Trimmer	15	1	M
FREEMAN, Mr Ernest Edward Samuel	45	Victualling Crew		Belfast	Deck Steward (1st Class)	[239]	0	M
FRöLICHER-STEHLI, Mr Maximilian Josef	60	1st Class Passenger	13567 £79 4s	Cherbourg		5	1	M
FRöLICHER-STEHLI, Mrs Margaretha Emerentia	48	1st Class Passenger	13567 £79 4s	Cherbourg		5	1	F
FRöLICHER, Miss Hedwig Margaritha	22	1st Class Passenger	13568 £49 10s	Cherbourg		5	1	F
FROST, Mr Anthony Wood	38	2nd Class Passenger H&W Guarantee Group	239854	Belfast	Fitter		0	M
FRY, Mr Richard	39	1st Class Passenger Servant	112058	Southampton	Servant		0	M
FRYER, Mr Albert Ernest	29	Engineering Crew		Southampton	Trimmer		1	M
FUNK, Miss Annie Clemmer	38	2nd Class Passenger	237671 £13	Southampton	Missionary		0	F
FUTRELLE, Mr Jacques Heath	37	1st Class Passenger	113803 £53 2s	Southampton	Writer		0	M
FUTRELLE, Mrs Lily May	35	1st Class Passenger	113803 £53 2s	Southampton		D	1	F
FYNNEY, Mr Joseph J.	35	2nd Class Passenger	239865 £26	Southampton	Rubber Merchant	[322]	0	M
GALE, Mr Harry	38	2nd Class Passenger	28664 £21	Southampton	Miner		0	M
GALE, Mr Shadrach	33	2nd Class Passenger	28664 £21	Southampton	Miner		0	M
GALLAGHER, Mr Martin	29	3rd Class Passenger	36864 £7 14s 10d	Queenstown	Farm Labourer		0	M
GARFIRTH, Mr John	21	3rd Class Passenger	358585 £14 10s	Southampton	Shoemaker		0	M
GARSIDE, Miss Ethel		2nd Class Passenger	243880 £13	Southampton		12	1	F
GASKELL, Mr William Alfred		2nd Class Passenger	239865 £26	Southampton	Cooper		0	M
GATTI, Sig. Gaspare Antonio Pietro	37	Restaurant Staff		Southampton	à la Carte Restaurant Manager	[313]	0	M
GAVEY, Mr Laurence	26	2nd Class Passenger	31028 £10 10s	Southampton			0	M
GEDDES, Mr Richard Charles	31	Victualling Crew		Southampton	Bed Room Steward (1st class)		0	M
GEE, Mr Arthur H.	47	1st Class Passenger	111320 £38 10s	Southampton		[275]	0	M
GEER, Mr Alfred Emest	26	Engineering Crew		Southampton	Fireman		0	M
GEORGE/JOSEPH, Mrs Shawneene	38	3rd Class Passenger	2688 £7 4s 7d	Cherbourg		C	1	F
GERIOS THAMAH, Mr Assaf	21	3rd Class Passenger	2692 £7 4s 6d	Cherbourg	Farm Labourer		0	M
GHEORGHEFF, Mr Stanio		3rd Class Passenger	349254 £7 17s 11d	Cherbourg	General Labourer		0	M
GIBBONS, Mr Jacob William	36	Victualling Crew		Southampton	Second Class Steward	11	1	M
GIBSON, Miss Dorothy Winifred	22	1st Class Passenger	112378 £59 8s	Cherbourg		7	1	F
GIBSON, Mrs Pauline Caroline	44	1st Class Passenger	112378 £59 8s	Cherbourg		7	1	F
GIEGER, Miss Amalie	35	1st Class Passenger Servant	113503 £211 10s	Southampton	Personal Maid	4	1	F
GIGLIO, Mr Victor Gaitan Andrea	23	1st Class Passenger Servant	17593 £79 4s	Cherbourg	Servant		0	M
GILARDINO, Sig. Vincenzo Pio	31	Restaurant Staff		Southampton	Waiter		0	M
GILBERT, Mr William	47	2nd Class Passenger	30769 £10 10s	Southampton			0	M
GILES, Mr Edgar	21	2nd Class Passenger	28133 £11 10s	Southampton	Cab Driver		0	M
GILES, Mr Frederick Edward	20	2nd Class Passenger	28134 £11 10s	Southampton	Bus Driver		0	M
GILES, Mr John Robert	32	Victualling Crew		Southampton	2nd Baker		0	M
GILES, Mr Ralph	24	2nd Class Passenger	248726 £13 10s	Southampton		[297]	0	M
GILINSKI, Mr Eliezer	22	3rd Class Passenger	14973 £8 1s	Southampton	Locksmith	[47]	0	M
GILL, Mr John	24	2nd Class Passenger	233866 £13	Southampton	Chauffeur	[155]	0	M
GILL, Mr Joseph Stanley	38	Victualling Crew		Belfast	Bed Room Steward	[49]	0	M
GILL, Mr Patrick	38	Victualling Crew		Southampton	Ship's Cook		0	M
GILLESPIE, Mr William Henry	31	2nd Class Passenger	12233 £13	Southampton	Clerk		0	M
GILNAGH, Miss Katherine	17	3rd Class Passenger	35851 £7 14s 8d	Queenstown		16	1	F
GIVARD, Mr Hans Kristensen	30	2nd Class Passenger	250646 £13	Southampton		[305]	0	M
GLYNN, Miss Mary Agatha	19	3rd Class Passenger	335677 £7 15s	Queenstown		13	1	F
GODLEY, Mr George Auguste	38	Engineering Crew		Southampton	Fireman		1	M
GODWIN, Mr Frederick Charles	35	Engineering Crew		Southampton	Greaser		0	M
GOLD, Mrs Jane Kate Coulson	45	Victualling Crew		Southampton	Stewardess		1	F
GOLDENBERG, Mr Samuel L.	47	1st Class Passenger	17453 £89 2s 1d	Cherbourg		5	1	M
GOLDENBERG, Mrs Nella	40	1st Class Passenger	17453 £89 2s 1d	Cherbourg		5	1	F
GOLDER, Mr M. W.	32	Engineering Crew		Southampton	Fireman		0	M
GOLDSCHMIDT, Mr George B.	71	1st Class Passenger	17754 £34 13s 1d	Cherbourg	Lawyer		0	M
GOLDSMITH, Master Frank John William	9	3rd Class Passenger	363291 £20 10s 6d	Southampton		C	1	M
GOLDSMITH, Mr Frank John	33	3rd Class Passenger	363291 £20 10s 6d	Southampton	Turner		0	M
GOLDSMITH, Mr Nathan	41	3rd Class Passenger	3101263 £7 17s	Southampton	Shoemaker		0	M
GOLDSMITH, Mrs Emily Alice	31	3rd Class Passenger	363291 £20 10s 6d	Southampton		C	1	F
GOLLOP, Mr F.	28	Victualling Crew		Southampton	Assistant Passage Cook		0	M
GOODWIN, Master Harold Victor	9	3rd Class Passenger	2144 £46 18s	Southampton			0	M
GOODWIN, Master Sidney Leslie	1	3rd Class Passenger	2144 £46 18s	Southampton		[4]	0	M
GOODWIN, Master William Frederick	11	3rd Class Passenger	2144 £46 18s	Southampton			0	M
GOODWIN, Miss Jessie Allis	10	3rd Class Passenger	2144 £46 18s	Southampton			0	F
GOODWIN, Miss Lillian Amy	16	3rd Class Passenger	2144 £46 18s	Southampton	Servant		0	F
GOODWIN, Mr Charles Edward	14	3rd Class Passenger	2144 £46 18s	Southampton	Scholar		0	M
GOODWIN, Mr Frederick Joseph	42	3rd Class Passenger	2144 £46 18s	Southampton	Engineer		0	M
GOODWIN, Mrs Augusta	43	3rd Class Passenger	2144 £46 18s	Southampton			0	F
GORDON, Mr J.	29	Engineering Crew		Southampton	Trimmer		0	M
GOREE, Mr Frank	40	Engineering Crew		Southampton	Greaser	[222]	0	M
GOSHAWK, Mr Alfred James	40	Victualling Crew		Belfast	Saloon Steward (1st class)		0	M
GOSLING, Mr Bertram James	22	Engineering Crew		Southampton	Trimmer		0	M
GOSLING, Mr S.	26	Engineering Crew		Southampton	Trimmer		0	M
GRACIE, Colonel Archibald	53	1st Class Passenger	113780 £28 10s	Southampton	Writer	B	1	M
GRADIDGE, Mr Ernest Edward	22	Engineering Crew		Southampton	Fireman	[276]	0	M
GRAHAM, Miss Margaret Edith	19	1st Class Passenger	17582 £153 9s 3d	Southampton		3	1	F
GRAHAM, Mr George Edward	38	1st Class Passenger	112053 £30	Southampton	Sales Manager	[147]	0	M
GRAHAM, Mr Thomas G.	28	Engineering Crew		Belfast	Fireman		1	M
GRAHAM, Mrs Edith	59	1st Class Passenger	17582 £153 9s 3d	Southampton		3	1	F
GREEN, Mr George	40	3rd Class Passenger	21440 £8 1s	Southampton	Farrier		0	M
GREEN, Mr George	20	Engineering Crew		Southampton	Trimmer		0	M
GREENBERG, Mr Samuel	52	2nd Class Passenger	250647 £13	Southampton		[19]	0	M
GREENFIELD, Mr William Bertram	23	1st Class Passenger	17759 £63 7s 2d	Cherbourg		7	1	M
GREENFIELD, Mrs Blanche	45	1st Class Passenger	17759 £63 7s 2d	Cherbourg		7	1	F
GREGORY, Mr David	43	Engineering Crew		Southampton	Greaser		0	M
GREGSON, Miss Mary	45	Victualling Crew		Southampton	Stewardess	16	1	F
GRøNNESTAD, Mr Daniel Danielsen	32	3rd Class Passenger	8471 £8 6s 15d	Southampton	General Labourer		0	M
GROSCLAUDE, Mr Gérald	24	Restaurant Staff		Southampton	Waiter		0	M
GUEST, Mr Robert	23	3rd Class Passenger	376563 £8 1s	Southampton	General Labourer		0	M
GUGGENHEIM, Mr Benjamin	46	1st Class Passenger	17593 £79 4s	Cherbourg	Businessman		0	M
GUMERY, Mr George	24	Engineering Crew		Southampton	Mess Steward		0	M
GUNN, Mr Joseph Alfred	28	Victualling Crew		Southampton	Assistant Saloon Steward (2nd Class)		0	M
GUSTAFSSON, Mr Alfred Ossian	19	3rd Class Passenger	7534 £9 16s 11d	Southampton	General Labourer		0	M
GUSTAFSSON, Mr Anders Vilhelm	37	3rd Class Passenger	3101276 £7 18s 6d	Southampton	General Labourer	[98]	0	M
GUSTAFSSON, Mr Johan Birger	28	3rd Class Passenger	3101277 £7 18s 6d	Southampton			0	M
GUSTAFSSON, Mr Karl Gideon	19	3rd Class Passenger	347069 £7 15s 6d	Southampton	General Labourer		0	M
GUY, Mr Elgar John	28	Victualling Crew		Southampton	Boots	5	1	M
GWINN, Mr William Logan	37	Victualling Crew Postal Clerk		Southampton	Postal Clerk / Postman		0	M
HAAS, Miss Aloisia	24	3rd Class Passenger	349236 £8 17s	Southampton	General Labourer		0	F
HAGGAN, Mr John	35	Engineering Crew		Belfast	Fireman	3	1	M
HAGLAND, Mr Ingvald Olai Olsen	28	3rd Class Passenger	65303 £6 19s 4d	Southampton	General Labourer		0	M
HAGLAND, Mr Konrad Mathias Reiersen	19	3rd Class Passenger	65304 £6 19s 4d	Southampton	General Labourer		0	M
HAINES, Mr Albert	31	Deck Crew		Belfast	Boatswain Mate	9	1	M
HAKKARAINEN, Mr Pekka Pietari	28	3rd Class Passenger	3101279 £15 17s	Southampton	General Labourer		0	M
HAKKARAINEN, Mrs Elin Matilda	24	3rd Class Passenger	3101279 £15 17s	Southampton		15	1	F
HALE, Mr Reginald	30	2nd Class Passenger	250653 £13	Southampton	Gardener	[75]	0	M
HALFORD, Mr Walter Stamford	22	Victualling Crew		Southampton	Steward	15	1	M
HALL, Mr Frank Alfred James	38	Victualling Crew		Southampton	Scullion		0	M
HALL, Mr J.	32	Engineering Crew		Southampton	Fireman		0	M
HALLETT, Mr George Alexander	22	Engineering Crew		Southampton	Fireman		0	M
HäMäLäINEN, Master Viljo Unto Johannes	0	2nd Class Passenger	250649 £14 10s	Southampton		4	1	M
HäMäLäINEN, Mrs Anna	23	2nd Class Passenger	250649 £14 10s	Southampton		4	1	F
HAMBLYN, Mr Ernest William	46	Victualling Crew		Southampton	2nd Class Bedroom Steward		0	M
HAMILTON, Mr Ernest	25	Victualling Crew		Belfast	Assistant Smoke Room Steward (1st class)		0	M
HAMPE, Mr Léon Jérome	19	3rd Class Passenger	345769 £9 10s	Southampton	Painter & Decorator		0	M
HANDS, Mr Bernard	53	Engineering Crew		Southampton	Fireman		0	M
HANNA, Mr Boulos	18	3rd Class Passenger	2664 £7 4s 6d	Cherbourg	General Labourer		0	M
HANNA, Mr Mansour	35	3rd Class Passenger	2693 £7 4s 7d	Cherbourg		[188]	0	M
HANNAH, Mr Borak (	27	3rd Class Passenger	2663 £7 4s 7d	Cherbourg		15	1	M
HANNAM, Mr George	29	Engineering Crew		Southampton	Fireman		0	M
HANSEN, Mr Claus Peter	41	3rd Class Passenger	350026 £14 2s 2d	Southampton	Barber		0	M
HANSEN, Mr Henrik Juul	26	3rd Class Passenger	350025 £7 17s 1d	Southampton	Farmer		0	M
HANSEN, Mr Henry Damsgaard	21	3rd Class Passenger	350029 £7 17s 1d	Southampton	Manufacturer	[69]	0	M
HANSEN, Mrs Jennie Louise	45	3rd Class Passenger	350026 £14 2s 2d	Southampton		11	1	F
HARBECK, Mr William H.	44	2nd Class Passenger	248746 £13	Southampton	Cinematographer	[35]	0	M
HARDER, Mr George Achilles	25	1st Class Passenger	11765 £55 8s 10d	Cherbourg	Businessman	5	1	M
HARDER, Mr William	39	Deck Crew		Southampton	Window Cleaner	14	1	M
HARDER, Mrs Dorothy	21	1st Class Passenger	11765 £55 8s 10d	Cherbourg		5	1	F
HARDING, Mr Alfred John	20	Victualling Crew		Southampton	Assistant Pantry Steward (2nd class)		0	M
HARDWICK, Mr Reginald	21	Victualling Crew		Southampton	Kitchen Porter	11	1	M
HARDY, Mr John	40	Victualling Crew		Belfast	Chief Second Class Steward	D	1	M
HARGADON, Miss Catherine	17	3rd Class Passenger	30631 £7 14s 8d	Queenstown	Cook		0	F
HARKNETT, Miss Alice Phoebe		3rd Class Passenger	6609 £7 11s	Southampton	Domestic Kitchen Servant		0	F
HARPER, Miss Annie Jessie	6	2nd Class Passenger	248727 £33	Southampton		11	1	F
HARPER, Mr Henry Sleeper	48	1st Class Passenger	17572 £76 14s 7d	Cherbourg	Of Independent Means	3	1	M
HARPER, Mrs Myra Raymond	49	1st Class Passenger	17572 £76 14s 7d	Cherbourg		3	1	F
HARPER, Rev. John	39	2nd Class Passenger	248727 £33	Southampton	Priest / Minister		0	M
HARRINGTON, Mr Charles Henry	37	1st Class Passenger Servant	113796 £42 8s	Southampton	Servant		0	M
HARRIS, Mr Amos	23	Engineering Crew		Southampton	Trimmer		0	M
HARRIS, Mr Charles William	19	Victualling Crew		Southampton	Saloon Steward (2nd class)		0	M
HARRIS, Mr Clifford Henry	16	Victualling Crew		Southampton	Bell Boy		0	M
HARRIS, Mr Edward John	28	Engineering Crew		Southampton	Fireman		0	M
HARRIS, Mr Edward Matthew	18	Victualling Crew		Southampton	Assistant Pantryman Steward (1st Class)		0	M
HARRIS, Mr Frederick	39	Engineering Crew		Southampton	Fireman		1	M
